id;name;score;ratings;category;full_address;
1;PJ Fresh (224 Daniel Payne Drive);4.2;32;Burgers, American, Sandwiches;224 Daniel Payne Drive, Birmingham, AL, 35207;
2;J' ti`'z Smoothie-N-Coffee Bar;3.9;18;Coffee and Tea, Breakfast and Brunch, Bubble Tea;1521 Pinson Valley Parkway, Birmingham, AL, 35217;
3;Philly Fresh Cheesesteaks (541-B Graymont Ave);4.1;25;American, Cheesesteak, Sandwiches, Alcohol;541-B Graymont Ave, Birmingham, AL, 35204;
4;Papa Murphy's (1580 Montgomery Highway);4.4;36;Pizza;1580 Montgomery Highway, Hoover, AL, 35226;
5;Nelson Brothers Cafe (17th St N);4.7;22;Breakfast and Brunch, Burgers, Sandwiches;314 17th St N, Birmingham, AL, 35203;
6;Ocean Restaurant;3.8;14;Seafood, Sushi, Steak;1218 20th Street South, Birmingham, AL, 35205;
7;Jinsei Sushi;4.7;63;Sushi, Asian, Japanese;1830 29th Ave S, Birmingham, AL, 35209;
8;Little India;4.3;52;Vegetarian, Asian, Asian Fusion, Chinese, Indian, Healthy;2236 Highland Ave, Birmingham, AL, 35205;
9;Captain D's (1284 Decatur Hwy);4.1;38;Seafood, Fast Food, Fish and Chips, American;1284 Decatur Hwy, Gardendale, AL, 35071;
10;Cajun Bistro Express;3.6;27;Desserts, Vegetarian, Coffee and Tea;1515 Pearson Ave SW, Birmingham, AL, 35211;
11;The Ice Cream Shop;4.5;15;Desserts, Ice Cream + Frozen Yogurt;26600 Highway 31, Jamison, AL, 35085;
12;The Ice Cream Shop;3.9;20;"Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts";4414 4th Ave 5, Birmingham, AL, 35222;
13;Bunrise Burgers;4.2;42;Burgers, Fast Food, American, Comfort Food, Diner, Chicken;1100 Forestdale Boulevard, Birmingham, AL, 35214;
14;Panera (521 Fieldstown Road);4.6;44;Breakfast and Brunch, Salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken;521 Fieldstown Road, Gardendale, AL, 35071;
15;The Imperial Indian;4.2;33;Indian, Vegetarian, Pakistani, Chicken, Indian Curry;1024 20th Street South Unit 101, Birmingham, AL, 35205;
16;Jeni's Splendid Ice Cream (Pepper Place);5;20;"Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts";219 29th St S, Birmingham, AL, 35233;
17;Exotic Wings &amp;3.9;65;Wings;Halal, Chicken, Wings;208 Green Springs Avenue South, Birmingham, AL, 35205
18;Papa Murphy's (1031 Montgomery Highway);4.3;27;Pizza;1031 Montgomery Highway Suite 123, Vestavia Hills, AL, 35216;
19;Falafel Cafe;4.9;48;Middle Eastern, Mediterranean, Vegetarian, Greek, Healthy;401 19th St S, Birmingham, AL, 35233;
20;MrBeast Burger (838 Odum Road);3.7;19;American, Burgers, Sandwich;838 Odum Road, Gardendale, AL, 35071;
21;Magic City Nutrition;4.5;35;Juice and Smoothies, Bubble Tea, Healthy, Fruit;2201 2nd Ave S, Birmingham, AL, 35233;
22;Miami Fusion Cafe;4.2;23;Caribbean, Cuban, Coffee and Tea, Breakfast and Brunch;2015 5th Ave N, Birmingham, AL, 35203;
23;Golden Temple Vegetarian Cafe;4.6;39;Juice and Smoothies, Drinks, Comfort Food;1901 11th Ave S, Birmingham, AL, 35205;
24;Cinnabon baked at Flying J (224 Daniel Payne Drive);4.1;30;Bakery, Desserts;224 Daniel Payne Drive, Birmingham, AL, 35207;
25;Rjt Rae'z Wings &amp;4.3;60;wings;Wings, Burgers, Sandwiches;100 3rd Avenue North, Birmingham, AL, 35204
